1	A	1193	680	678	968658681768889417728.000000
2	B	1000	233	246	1413219134730693509120.000000
3	B	848	81	78	1637376982485988540416.000000
4	A	647	134	136	1514443973645267894272.000000
5	A	664	153	151	1502897488127024693248.000000
6	A	648	137	135	1468462885765787942912.000000
7	B	636	381	354	1161639733723010170880.000000
8	A	1119	606	592	996601619526235193344.000000
9	A	401	400	414	1186838655775660834816.000000
10	A	558	47	33	1682268546836697710592.000000
11	A	895	894	880	834513733825716551680.000000
12	A	375	374	376	1214127114362251116544.000000
13	A	919	918	920	811198487308144738304.000000
14	A	565	52	58	1650678150242062041088.000000
15	B	1229	972	979	799678787899134574592.000000
16	A	600	89	87	1604322352470638985216.000000
17	B	1403	634	613	967808024599398973440.000000
18	B	580	325	346	1309641819021867745280.000000
19	B	1453	684	691	987485230380866732032.000000
20	A	260	261	267	1325632700596864679936.000000
21	B	1420	653	658	978362983466719379456.000000
22	A	1051	538	532	1098622612640513261568.000000
23	B	986	219	196	1380532958979547725824.000000
24	B	917	148	139	1534747829997591330816.000000
25	B	1519	750	753	907115595658141630464.000000
26	A	688	177	191	1446937239141688803328.000000
27	A	739	226	236	1370868847118730657792.000000
28	B	1280	513	542	1035672989420936364032.000000
29	A	744	233	231	1413219134730693509120.000000
30	B	781	12	19	1884682346489037717504.000000
31	A	958	959	945	832830339063485562880.000000
32	B	962	195	220	1482336994641520099328.000000
33	A	671	158	144	1511066651559561265152.000000
34	A	950	951	953	803407890799876374528.000000
35	A	414	415	401	1154835357743988080640.000000
36	A	368	369	383	1215479041782568189952.000000
37	B	600	345	326	1272357446003682181120.000000
38	B	694	439	424	1148840217881758400512.000000
39	B	822	55	40	1681352018761992110080.000000
40	B	760	505	486	1092138482286310064128.000000
41	A	1232	721	735	922711028128340115456.000000
42	B	1042	787	780	927108101029811060736.000000
43	B	1354	587	596	1018308265492001587200.000000
44	A	695	182	184	1448509030303554600960.000000
45	A	284	285	275	1370708379465878077440.000000
46	B	1528	761	742	917849628938694557696.000000
47	A	1177	664	662	967766022326934831104.000000
48	A	493	492	482	1119226046765188907008.000000
49	B	1135	878	881	821727780722584453120.000000
50	B	1277	1020	995	787276383047227015168.000000
51	A	360	361	359	1208623559776310657024.000000
52	A	546	35	45	1758522295563400773632.000000
53	A	1162	651	645	939690045889911324672.000000
54	A	734	223	209	1397725273422231764992.000000
55	A	398	399	385	1207868712383770263552.000000
56	B	934	167	184	1506134047204613029888.000000
57	B	1482	715	724	932301036964319330304.000000
58	A	787	786	796	897262431875536519168.000000
59	A	1137	624	638	1028254215639716986880.000000
60	A	507	506	500	1094591500877363412992.000000
61	A	1047	534	536	1057753599730405212160.000000
62	B	928	161	190	1430632352035230449664.000000
63	A	1058	547	557	998433572319737937920.000000
64	B	635	378	357	1219335536889181503488.000000
65	A	803	802	812	892727703273375268864.000000
66	A	423	422	424	1186996384705238269952.000000
67	A	605	92	82	1613342152986302611456.000000
68	A	733	220	210	1354819016304382443520.000000
69	A	299	298	292	1287056957560003756032.000000
70	B	872	105	118	1603168442222217789440.000000
71	B	716	461	466	1150555860441186041856.000000
72	A	665	152	150	1492194097291864047616.000000
73	A	1125	612	618	989343847222342713344.000000
74	B	968	201	214	1392920760868211785728.000000
75	A	1144	633	631	972613932080282992640.000000
76	B	1140	885	874	851756763479574446080.000000
77	B	1416	649	662	979960845346587017216.000000
78	B	856	89	70	1604322352470638985216.000000
79	B	836	69	90	1685553785191859748864.000000
80	B	788	21	10	1792358155589971607552.000000
81	A	491	490	484	1043201094191031386112.000000
82	A	421	420	426	1189599857693963583488.000000
83	A	271	270	256	1319688099688211021824.000000
84	A	1001	1000	998	811214109373833674752.000000
85	A	408	409	407	1168937172287254036480.000000
86	A	941	940	930	792105471055201959936.000000
87	B	1052	797	770	860164953757890641920.000000
88	A	1264	753	767	922248593770915823616.000000
89	A	1236	725	731	936243859940284039168.000000
90	A	1002	1003	997	807003637043402768384.000000
91	B	655	398	401	1151506645792906805248.000000
92	B	1012	245	234	1331545039029755183104.000000
93	B	1438	671	640	968689960596336279552.000000
94	A	1141	628	634	1002935112684654166016.000000
95	A	603	90	84	1559848993146767147008.000000
96	A	350	351	337	1240962667381090156544.000000
97	A	416	417	431	1109499112226248196096.000000
98	B	760	505	486	1092138482286310064128.000000
99	B	886	119	104	1571008732189652680704.000000
100	B	570	315	292	1263864277519105785856.000000
